,DATE,time-int2,ENTRIES,EXITS,ent,exit,date-true,day,month
0,01/23/2016,0,1040329.0,2540862.0,0,0,2016-01-23,5,1
1,01/23/2016,4,1040339.0,2540872.0,10,10,2016-01-23,5,1
2,01/23/2016,8,1040340.0,2540902.0,11,40,2016-01-23,5,1
3,01/23/2016,12,1040371.0,2541010.0,42,148,2016-01-23,5,1
4,01/23/2016,16,1040526.0,2541101.0,197,239,2016-01-23,5,1
5,01/23/2016,20,1040540.0,2541118.0,211,256,2016-01-23,5,1
6,01/24/2016,0,1040550.0,2541129.0,0,0,2016-01-24,6,1
7,01/24/2016,4,1040551.0,2541132.0,1,3,2016-01-24,6,1
8,01/24/2016,8,1040553.0,2541143.0,3,14,2016-01-24,6,1
9,01/24/2016,12,1040564.0,2541238.0,14,109,2016-01-24,6,1
10,01/24/2016,16,1040619.0,2541421.0,69,292,2016-01-24,6,1
11,01/24/2016,20,1040704.0,2541581.0,154,452,2016-01-24,6,1
12,01/25/2016,0,1040752.0,2541615.0,0,0,2016-01-25,0,1
13,01/25/2016,4,1040754.0,2541618.0,2,3,2016-01-25,0,1
14,01/25/2016,8,1040781.0,2541773.0,29,158,2016-01-25,0,1
15,01/25/2016,12,1040922.0,2542490.0,170,875,2016-01-25,0,1
16,01/25/2016,16,1041206.0,2542892.0,454,1277,2016-01-25,0,1
17,01/25/2016,20,1042176.0,2543694.0,1424,2079,2016-01-25,0,1
18,01/26/2016,0,1042452.0,2543814.0,0,0,2016-01-26,1,1
19,01/26/2016,4,1042456.0,2543829.0,4,15,2016-01-26,1,1
20,01/26/2016,8,1042504.0,2543976.0,52,162,2016-01-26,1,1
21,01/26/2016,12,1042688.0,2544890.0,236,1076,2016-01-26,1,1
22,01/26/2016,16,1043001.0,2545328.0,549,1514,2016-01-26,1,1
23,01/26/2016,20,1044104.0,2545929.0,1652,2115,2016-01-26,1,1
24,01/27/2016,0,1044379.0,2546053.0,0,0,2016-01-27,2,1
25,01/27/2016,4,1044393.0,2546062.0,14,9,2016-01-27,2,1
26,01/27/2016,8,1044438.0,2546232.0,59,179,2016-01-27,2,1
27,01/27/2016,12,1044685.0,2546980.0,306,927,2016-01-27,2,1
28,01/27/2016,16,1044974.0,2547429.0,595,1376,2016-01-27,2,1
29,01/27/2016,20,1045930.0,2548090.0,1551,2037,2016-01-27,2,1
30,01/28/2016,0,1046198.0,2548201.0,0,0,2016-01-28,3,1
31,01/28/2016,4,1046209.0,2548214.0,11,13,2016-01-28,3,1
32,01/28/2016,8,1046257.0,2548362.0,59,161,2016-01-28,3,1
33,01/28/2016,12,1046486.0,2549095.0,288,894,2016-01-28,3,1
34,01/28/2016,16,1046801.0,2549625.0,603,1424,2016-01-28,3,1
35,01/28/2016,20,1047763.0,2550239.0,1565,2038,2016-01-28,3,1
36,01/29/2016,0,1048051.0,2550372.0,0,0,2016-01-29,4,1
37,01/29/2016,4,1048068.0,2550384.0,17,12,2016-01-29,4,1
38,01/29/2016,8,1048102.0,2550543.0,51,171,2016-01-29,4,1
39,01/29/2016,12,1048296.0,2551269.0,245,897,2016-01-29,4,1
40,01/29/2016,16,1048587.0,2551752.0,536,1380,2016-01-29,4,1
41,01/29/2016,20,1048826.0,2552445.0,775,2073,2016-01-29,4,1
42,02/20/2016,0,1074387.0,2592165.0,0,0,2016-02-20,5,2
43,02/20/2016,4,1074414.0,2592186.0,27,21,2016-02-20,5,2
44,02/20/2016,8,1074415.0,2592219.0,28,54,2016-02-20,5,2
45,02/20/2016,12,1074472.0,2592438.0,85,273,2016-02-20,5,2
46,02/20/2016,16,1074659.0,2592869.0,272,704,2016-02-20,5,2
47,02/20/2016,20,1075024.0,2593241.0,637,1076,2016-02-20,5,2
48,02/21/2016,0,1075175.0,2593348.0,0,0,2016-02-21,6,2
49,02/21/2016,4,1075202.0,2593364.0,27,16,2016-02-21,6,2
50,02/21/2016,8,1075207.0,2593386.0,32,38,2016-02-21,6,2
51,02/21/2016,12,1075230.0,2593527.0,55,179,2016-02-21,6,2
52,02/21/2016,16,1075360.0,2593831.0,185,483,2016-02-21,6,2
53,02/21/2016,20,1075588.0,2594088.0,413,740,2016-02-21,6,2
54,02/22/2016,0,1075658.0,2594130.0,0,0,2016-02-22,0,2
55,02/22/2016,4,1075675.0,2594137.0,17,7,2016-02-22,0,2
56,02/22/2016,8,1075708.0,2594268.0,50,138,2016-02-22,0,2
57,02/22/2016,12,1075904.0,2595071.0,246,941,2016-02-22,0,2
58,02/22/2016,16,1076057.0,2595576.0,399,1446,2016-02-22,0,2
59,02/22/2016,20,1076610.0,2596262.0,952,2132,2016-02-22,0,2
60,02/23/2016,0,1076724.0,2596358.0,0,0,2016-02-23,1,2
61,02/23/2016,4,1076733.0,2596370.0,9,12,2016-02-23,1,2
62,02/23/2016,8,1076757.0,2596528.0,33,170,2016-02-23,1,2
63,02/23/2016,12,1076880.0,2597294.0,156,936,2016-02-23,1,2
64,02/23/2016,16,1077080.0,2597766.0,356,1408,2016-02-23,1,2
65,02/23/2016,20,1077662.0,2598580.0,938,2222,2016-02-23,1,2
66,02/24/2016,0,1077819.0,2598702.0,0,0,2016-02-24,2,2
67,02/24/2016,4,1077827.0,2598707.0,8,5,2016-02-24,2,2
68,02/24/2016,8,1077855.0,2598871.0,36,169,2016-02-24,2,2
69,02/24/2016,12,1078016.0,2599663.0,197,961,2016-02-24,2,2
70,02/24/2016,16,1078196.0,2600168.0,377,1466,2016-02-24,2,2
